kpid,"sti","acc","acc_txt",acc_int
1271,"Sermon for Christmas","3052","a03052",3052
1272,"Sermon for Christmas","3054","a03054",3054
1273,"Sermon for Easter","3053","a03053",3053
1274,"Sermon for the Anniversary of American Independence, A","954","a00954",954
1275,"Sermon for Whitsunday","788","a00788",788
1276,"Sermon for ye 6th Sunday after ye Epiphany, A","321","a00321",321
1277,"Sermon from 1 Ep John 1 & 7","1635","a01635",1635
1278,"Sermon from 1 Ep John 1 Ch & 7 vs lt pt.","1611","a01611",1611
1279,"Sermon from 1st Ep Peter 1st Ch 6 & 7 vs.","1610","a01610",1610
1280,"Sermon from 1st Tim 1st Ch & 15 vs","1626","a01626",1626
1281,"Sermon from 2d Peter 3d Ch & 11 vs.","1624","a01624",1624
1282,"Sermon from Colos 3d Ch 2, 3, 4 vs.","1608","a01608",1608
1283,"Sermon from Deut 5 ch 29 vs, A","1653","a01653",1653
1284,"sermon from deut 5 ch 29 vs, A 2d","1654","a01654",1654
1285,"Sermon from Deuteronomy, A","953","a00953",953
1286,"Sermon from Exod 20, 8 vs","1634","a01634",1634
1287,"Sermon from Ezek 33, 33","1636","a01636",1636
1288,"Sermon from Gal 5, 15","1638","a01638",1638
1289,"Sermon from Isai 26 Ch, 8, 9 vs, A","1645","a01645",1645
1290,"Sermon from Isai 53 ch & 5 vs, A","1651","a01651",1651
1291,"Sermon from Isai 66 & 2d","1641","a01641",1641
1292,"Sermon from Jerem 31 & 20","1623","a01623",1623
1293,"Sermon from Job 31 Ch & 6 vs","1664","a01664",1664
1294,"Sermon from Job 31 Ch & 6 vs, A","1663","a01663",1663
1295,"Sermon from John 14, 23","1614","a01614",1614
1296,"Sermon from John 3d Ch 3 & 5 vs.","1603","a01603",1603
1297,"Sermon from John 4, 24","1633","a01633",1633
1298,"Sermon from John [14] Ch & 47 vs, A","1649","a01649",1649
1299,"Sermon from Luke 1st Ch 17 vs lt pt","1618","a01618",1618
1300,"Sermon from Matt 22 Ch 4 vs, A","1652","a01652",1652
1301,"Sermon from Matt 4, 10","1632","a01632",1632
1302,"Sermon from Matthew 6, 33","1642","a01642",1642
1303,"Sermon from Phillip 1, 27","1639","a01639",1639
1304,"Sermon from Ps 103, 19","1631","a01631",1631
1305,"Sermon from Ps 116, 16 vs, A","1650","a01650",1650
1306,"Sermon from Ps 26 & 6","1613","a01613",1613
1307,"Sermon from Ps 39, 10, 11, 12 vs.","1612","a01612",1612
1308,"Sermon from Psal 14 & 1","1647","a01647",1647
1309,"Sermon from Psalme 38 vs 18","1622","a01622",1622
1310,"Sermon from Rev 2, 17","1630","a01630",1630
1311,"Sermon from Rev 4 Ch 10 vs.","1616","a01616",1616
1312,"Sermon from songs 8 ch & 2d vs, A","1655","a01655",1655
1313,"sermon from songs 8 ch & 2d vs, A 2d","1656","a01656",1656
1314,"Sermon notes on the books of Timothy","987","a00987",987
1315,"Sermon Notes on the Lord's Supper","998","a00998",998
1316,"Sermon occasioned by the death of Deacon Thomas Quarterman","1028","a01028",1028
1317,"Sermon on 2 Cor. 4. 13","938","a00938",938
1318,"Sermon on Acts 2[4]. 25.","636","a00636",636
1319,"Sermon on Acts X, 33","1027","a01027",1027
1320,"Sermon on Be not ashamed","779","a00779",779
1321,"Sermon on Easter","847","a00847",847
1322,"Sermon on Everlasting Life","848","a00848",848
1323,"Sermon on Godliness with Contentment, A","780","a00780",780
1324,"Sermon on Grace","777","a00777",777
1325,"Sermon on Hebrews 12th C & 14 V, A","982","a00982",982
1326,"Sermon on Isaiah XLIV: 5","943","a00943",943
1327,"Sermon on Judgment and the Jews","869","a00869",869
1328,"Sermon on Matthew 11, 28-30","958","a00958",958
1329,"Sermon on Prayer","785","a00785",785
1330,"Sermon on Psal. 118, 2d, A","997","a00997",997
1331,"Sermon on Romans 7th 18th, A","994","a00994",994
1332,"Sermon on St. Luke 22, 19 & 20","787","a00787",787
1333,"Sermon on the Advantages of Religion","781","a00781",781
1334,"Sermon on the Ascension","1024","a01024",1024
1335,"Sermon On the Constitution and Order of the Christian Church, A ","10","a00010",10
1336,"Sermon on The Creation of Man, A","957","a00957",957
1337,"Sermon on the death of Col. George Carrington","931","a00931",931
1338,"Sermon on the flesh and the spirit","778","a00778",778
1339,"Sermon On The Law of God, A","955","a00955",955
1340,"Sermon on The Law of God, A","956","a00956",956
1341,"Sermon on the Lord's Supper","1007","a01007",1007
1342,"Sermon on the Lord's Supper","1009","a01009",1009
1343,"Sermon on The Love of God, A","965","a00965",965
1344,"Sermon on the married state","930","a00930",930
1345,"Sermon on the Nature of true Holiness, A","782","a00782",782
1346,"Sermon on the parable of the Rich Man and Lazarus","942","a00942",942
1347,"Sermon on the profanation of the name of God, A","966","a00966",966
1348,"Sermon on the Sacrament of the Lord's Supper","1000","a01000",1000
1349,"Sermon on the Sacrament of the Lord's Supper","1003","a01003",1003
1350,"Sermon on the World","880","a00880",880
1351,"Sermon on the World","880a","a00880a",880
1352,"Sermon on the World","880b","a00880b",880
1353,"Sermon Preached at James City in Virginia, A","935","a00935",935
1354,"Sermon preached at New York","1015","a01015",1015
1355,"Sermon Preached at the Death of General Washington","632","a00632",632
1356,"Sermon Preached in Annapolis","3093","a03093",3093
1357,"Sermon preached in my own Parish Church, A","841","a00841",841
1358,"Sermon upon the decay of Christianity","682","a00682",682
1359,"Sermons (1770) of an unidentified minister, Three","916","a00916",916
1360,"Sermons of Thomas Cradock","2999","a02999",2999
1361,"Sermons on Various Occasions by the Rev. Paul Turquand, Volume I","1665","a01665",1665
1362,"Sermons on Various Occasions by The Rev. Paul Turquand, Volume I","1714","a01714",1714
1363,"Sermons on Various Occasions by the Rev. Paul Turquand, Volume II","1688","a01688",1688
1364,"Sermons preached after 1800 by John Durbarrow Blair ","667","a00667",667
1365,"Sermons Vollume Thirteenth [by Archibald Simpson]","1628","a01628",1628
1366,"Sermons [by Archibald Simpson]","1600a","a01600a",1600
1367,"Sermons, 1792-1802 [by Armistead Smith]","944","a00944",944
1368,"Serve the Lord with Gladness","1738","a01738",1738
1369,"Service of the Lord neither vain nor unprofitable, The","2053","a02053",2053
1370,"Serving God, On","256","a00256",256
1371,"Serving God, On","409","a00409",409
1372,"Serving Two Masters, On","3117","a03117",3117
1373,"Set thine House in Order","645","a00645",645
1374,"Set your affection on things above","1694","a01694",1694
1375,"Set your affections on things above.","4001","a04001",4001
1376,"Seven Mss. Sermons Delivered [by Samuel Frink] in Christ Church, Savannah","1019","a01019",1019
1377,"Seventeen Manuscript Sermons, 1760-1804, [by Samuel Stillman]","1014","a01014",1014
1378,"Seventh Commandment, On the ","2004","a02004",2004
1379,"Sexagesima Sunday, On","453","a00453",453
1380,"Shewing thyself a pattern of good works","827","a00827",827
1381,"Shine to enter at the strait Gate","1705","a01705",1705
1382,"Short Acct. of the Nature, Terms & Conditions of the Baptismal Covenant","1732","a01732",1732
1383,"Short Discorce [sic] on the 14C. of Reveration [sic] & 13V, A","983","a00983",983
1384,"Sign of the Cross, On ye","327","a00327",327
1385,"Simeon's Apostrophe ","1969","a01969",1969
1386,"Sin and the Follies of Youth","4027","a04027",4027
1387,"Sin's Burdens and Christ's Yoke, On","3048","a03048",3048
1388,"Sin, On","444","a00444",444
1389,"Sin, On","446","a00446",446
1390,"Sincere conversion, On","387","a00387",387
1391,"Sinners, their allurements to be guarded against ","2019","a02019",2019
1392,"Sinners, their allurements to be guarded against ","2021","a02021",2021
1393,"Sins of Infirmity ","2041","a02041",2041
1394,"Sixth Article of the Creed, On the","281","a00281",281
1395,"Sixth Article of the Creed, On the","296","a00296",296
1396,"Sixth Article of the Creed, On the","297","a00297",297
1397,"Sixth Article of the Creed, On the","299","a00299",299
1398,"Slavery to human respects, On","379","a00379",379
1399,"Slothful man & his lion, The ","1998","a01998",1998
1400,"So shall he sprinkle many Nations","1710","a01710",1710
1401,"So then, after the Lord had spoken unto them","679","a00679",679
1402,"Son of God, The","934a","a00934a",934
1403,"Sorrow & heaviness of our Lord in Gethsemane, The ","2026","a02026",2026
1404,"Sorrow & mourning become all","1956","a01956",1956
1405,"Souls rest, The","934ss","a00934ss",934
1406,"Sow to yourselves in Righteousness, reap in mercy","1722","a01722",1722
1407,"Speaking truth","2194","a02194",2194
1408,"Speedy Conversion, On","270","a00270",270
1409,"Spirit of the world, On the","305","a00305",305
1410,"Spirit of the World, The","146","a00146",146
1411,"Spirit preventeth the works of the flesh, The ","1957","a01957",1957
1412,"Spiritual benefits, On","68","a00068",68
1413,"Spiritual blessings bestowed on man, On the","3783","a03783",3783
1414,"Spiritual or moral pride, On","2200","a02200",2200
1415,"Spiritual Vigilance","1740","a01740",1740
1416,"Spiritual Warfare, On","3014","a03014",3014
1417,"St Ignatius, On","235v","a00235v",235
1418,"St John, Epistle 1: 3 Chapter, 8 Verse, On","2103","a02103",2103
1419,"St John; Ch. 8, V. 10, 11","2192","a02192",2192
1420,"St Peter's Denial of his Master, On","2187","a02187",2187
1421,"St. Francis Xavier, On","58","a00058",58
1422,"St. Ignatius' Feast, On ","6","a00006",6
1423,"St. Ignatius, On","247","a00247",247
1424,"St. Ignatius, On","325","a00325",325
1425,"St. John Baptist, For","2173","a02173",2173
1426,"St. John the Baptist, On","365","a00365",365
1427,"St. Paul before Felix, On","3031","a03031",3031
1428,"St. Paul's Choice","2181","a02181",2181
1429,"St. Paul's Discourse to Felix ","2042","a02042",2042
1430,"State between Death & the Resurrection, On a","1844","a01844",1844
1431,"State of Protestantism, On","3064","a03064",3064
1432,"State of the wicked considered, The","1886","a01886",1886
1433,"Steadfastness, On","368","a00368",368
1434,"Study to shew thyself approved unto God","750","a00750",750
1435,"Study to shew thyself approved unto God","816","a00816",816
1436,"Study to shew thyself approved unto God ","817","a00817",817
1437,"Study to shew thyself approved unto God","828","a00828",828
1438,"Submission to ye will of god, On","180","a00180",180
1439,"Submitting to the Will of God, On","4016","a04016",4016
1440,"Substance of a Sermon, preached by Tho. Coke ","548","a00548",548
1441,"Success of Xtianity an evidence of its truth, The","1830","a01830",1830
1442,"Sudden death, On","188","a00188",188
1443,"Suffering in this world, On","97","a00097",97
1444,"Summary of the arguments in favor of Christianity","1836","a01836",1836
1445,"Superior excellence of Christ's preaching, The","2186","a02186",2186
1446,"Superiority of the Gospel over Natural Religion, The","2052","a02052",2052
1447,"Suspension of Andrew Nugent, On the","111","a00111",111
1448,"Swearing, On","169","a00169",169
1449,"Swearing, On","173","a00173",173
1450,"Swearing, On","175","a00175",175
1451,"Swearing, On","235n","a00235n",235
1452,"Take heed therefore how ye hear","1021","a01021",1021
1453,"Take heed to yourselves","928","a00928",928
1454,"Taking possession of the Episc. see of Baltre Decr 1790","115","a00115",115
1455,"Tares in the Church, Of the","934d","a00934d",934
1456,"Temple of God on Earth, The","651","a00651",651
1457,"Temptation and Wisdom, On","3051","a03051",3051
1458,"Temptations offered to men ","1937","a01937",1937
1459,"Temptations, offered by Satan to Jesus, presented also to man, The","1882","a01882",1882
1460,"Temptations, On","414","a00414",414
1461,"Tenderness and Mercy of God, The","652","a00652",652
1462,"Tenth Commandment, On the ","2007","a02007",2007
1463,"Tenth Commandment, On the ","2009","a02009",2009
1464,"Terms and Qualifications of successful prayers, The ","2035","a02035",2035
1465,"Testify the Gospel of the Grace of God","949","a00949",949
1466,"Textbook of Sermons Heard by Richard Dozier","929","a00929",929
1467,"Thanksgiving 1797, For the","2124","a02124",2124
1468,"Thanksgiving for national blessings","1809","a01809",1809
1469,"Thanksgiving on Feb. 19, 1795, For the ","2022","a02022",2022
1470,"Thanksgiving Sermon, A","471","a00471",471
1471,"Thanksgiving Sermon, A","941","a00941",941
1472,"Thanksgiving Sermon, A, in consequence of the President's Proclamation","631","a00631",631
1473,"Theft, On","177","a00177",177
1474,"Theological Responses","4066","a04066",4066
1475,"There is a reward for the righteous","1728","a01728",1728
1476,"There is no good in them, but for a Man to rejoice and to do good in his life","1720","a01720",1720
1477,"There is no peace saith my God to ye Wicked","913","a00913",913
1478,"There Remaineth therefore a rest to the People of God","966x","a00966x",966
1479,"There shall come in the last days scoffers","813","a00813",813
1480,"Therefore be ye also ready","815","a00815",815
1481,"Thine is the kingdom","2122","a02122",2122
1482,"Things in which we ought not, and that in which we may glory","2066","a02066",2066
1483,"Things, in which we ought not, and that, in which we may glory","2067","a02067",2067
1484,"Third Article of the, On the","280","a00280",280
1485,"Third commandment, On the","1803","a01803",1803
1486,"This do in remembrance of me","805","a00805",805
1487,"Those who honor God","1914","a01914",1914
1488,"Those, to whom there is no condemnation","2075","a02075",2075
1489,"Three Sermons by George Goundril","887","a00887",887
1490,"Three(?) Addresses to the Continental Army","4068","a04068",4068
1491,"Through a Glass Darkly","1025","a01025",1025
1492,"Through him we both have an Access by one Spirit unto the Father","1672","a01672",1672
1493,"Thy Kingdom come","833","a00833",833
1494,"Thy kingdom come","2117","a02117",2117
1495,"Thy will be done","2118","a02118",2118
1496,"Thy will be done on earth as it is in heaven","675","a00675",675
1497,"To Whom is the Cup in the Sacrament a Cup of Blessing?","1002","a01002",1002
1498,"Together in Unity","874","a00874",874
1499,"Torments of Hell, On the","57","a00057",57
1500,"Torments of Hell, On the","430","a00430",430
1501,"Transfiguration, On the","371","a00371",371
1502,"transitoriness of life, On the","879","a00879",879
1503,"Tribulation of the world ","1943","a01943",1943
1504,"True and righteous believers","918","a00918",918
1505,"True church, On the one","381","a00381",381
1506,"True faith in Christ, On","1787","a01787",1787
1507,"True Honour of Man, On the","783","a00783",783
1508,"True religion, On","235q","a00235q",235
1509,"Truly God is good","1701","a01701",1701
1510,"Trust in God, On our","1765","a01765",1765
1511,"Trusting in the Lord, On","3107","a03107",3107
1512,"Truth","133","a00133",133
1513,"Truth of religion, On the","148","a00148",148
1514,"Truth of Revelation, The","2126","a02126",2126
1515,"Truth of the Old Testament","1852","a01852",1852
1516,"Truth of the Scriptures of the New Testament, The","1814","a01814",1814
1517,"Turning from sin to newness of life","2162","a02162",2162
1518,"Two Sermons","723","a00723",723
1519,"Two sermons and a charge to two newly ordained ministers","991","a00991",991
1520,"Two Sermons by Edward Gantt","876","a00876",876
1521,"Two Sermons by George Goundril","883","a00883",883
1522,"Two Sermons by John Coleman","751","a00751",751
1523,"Two Sermons by John Coleman","793","a00793",793
1524,"Two Sermons by John Coleman","796","a00796",796
1525,"Two Sermons by John Coleman (Acc. 790)","790","a00790",790
1526,"Two Sermons on the Death of Elder Lewis Lunsford","947","a00947",947
1527,"Two sermons undivided from Isai 44 Ch 3d vs","1662","a01662",1662
1528,"Two sermons undivided from Jer 3d Ch 19","1657","a01657",1657
1529,"Two sermons undivided from Lev 10 Ch 3d vs","1661","a01661",1661
1530,"Two Sermons [by John Coleman]","799","a00799",799
1531,"Two Sermons [by John Coleman]","802","a00802",802
1532,"Two Sermons [by Robert Preade (Read?)]","904","a00904",904
1533,"Uncertainty of existence, On the","124","a00124",124
1534,"Uncertainty of life, & suddenness of death, The","2138","a02138",2138
1535,"Unclean thoughts, On","355","a00355",355
1536,"Unfit for Heaven","4062","a04062",4062
1537,"Unity","2057","a02057",2057
1538,"Unity of God, The","1904","a01904",1904
1539,"Universal Love & Charity","1911","a01911",1911
1540,"Unsearchable Wisdom of God, in his dealings with men, On the","1757","a01757",1757
1541,"Unstable as Water thou shalt not excell","940","a00940",940
1542,"Untitled Ms. Sermons 1686 and 1707","912","a00912",912
1543,"Unworthy communion, On","294","a00294",294
1544,"Upright poor man & the perverse rich one ","1985","a01985",1985
1545,"Use and abuse of the World, The","2039","a02039",2039
1546,"Use of time, On the","3","a00003",3
1547,"Use of time, On the","52","a00052",52
1548,"Use of time, On the","104","a00104",104
1549,"Use of time, On the","288","a00288",288
1550,"Vanity of human Life","1682","a01682",1682
1551,"Vanity, On","172","a00172",172
1552,"Vanity, On","176","a00176",176
1553,"Venial Sin, Of","287","a00287",287
1554,"Venial sin, On","123","a00123",123
1555,"Veracity of God, On the","1866","a01866",1866
1556,"Vice of Ingratitude, On the","417","a00417",417
1557,"Vine and Its Branches, On the","3050","a03050",3050
1558,"Virgin Mary, On the","40","a00040",40
1559,"Visionary schemes of happiness, On","2102","a02102",2102
1560,"Visitation of the third District, For the","2166","a02166",2166
1561,"Visitation-sermon","2167","a02167",2167
1562,"Vocation to Sanctity, On our","460","a00460",460
1563,"Wait for the Hope of Righteousness by Faith","1725","a01725",1725
1564,"Waiting patiently, till the change come ","1996","a01996",1996
1565,"Walk in the Spirit","671","a00671",671
1566,"Walking circumspectly ","2050","a02050",2050
1567,"Walking Circumspectly in Evil Days, On","3119","a03119",3119
1568,"Walking Circumspectly, Of","934u","a00934u",934
1569,"Walking with God, On","1845","a01845",1845
1570,"Walking worthy of ye Lord unto all pleasing","1917","a01917",1917
1571,"Way of Peace, The","884","a00884",884
1572,"We also are compassed about with so great a cloud of witnesses","898","a00898",898
1573,"We are ambassadors for Xt.","801","a00801",801
1574,"We must all appear before the Judgment Seat of Christ","920","a00920",920
1575,"We must all appear before the Judgment-Seat of Xt.","1715","a01715",1715
1576,"We preach not ourselves, but Christ Jesus","824","a00824",824
1577,"We preach not ourselves, but Christ Jesus","825","a00825",825
1578,"We preach not ourselves, but Xt Jesus","806","a00806",806
1579,"We preach not ourselves, but Xt Jesus","807","a00807",807
1580,"We preach not ourselves, but Xt Jesus","808","a00808",808
1581,"We Preach Xt. crucified","1727","a01727",1727
1582,"We speak not as pleasing Men, but God","873","a00873",873
1583,"We will serve the Lord","1734","a01734",1734
1584,"Wealth","835","a00835",835
1585,"Wealth, On","747","a00747",747
1586,"Wealth, On","2207","a02207",2207
1587,"Wealth, On","3099","a03099",3099
1588,"Wedding Sermon","739","a00739",739
1589,"What is a man profited if he shall gain the whole world","795","a00795",795
1590,"What is a man profited?","814","a00814",814
1591,"What is to be done for the inheritance of eternal life, On","968","a00968",968
1592,"What manner of Persons ought we to be","1718","a01718",1718
1593,"Whatsoever ye would that Men should do to you, do ye even so to them","1687","a01687",1687
1594,"When I have [a] convenient season, I will call for thee","1706","a01706",1706
1595,"When the fulness of the Time was come, God sent forth h[is] Son","1724","a01724",1724
1596,"When the unclean spirit is gone out of a man","811","a00811",811
1597,"While ye Child was yet alive","752","a00752",752
1598,"Whipping & thorns","240","a00240",240
1599,"Whitsunday, For","1758","a01758",1758
1600,"Whitsunday, For","1843","a01843",1843
1601,"Whitsunday, For ","1945","a01945",1945
1602,"Whitsunday, For ","2034","a02034",2034
1603,"Whitsunday, For","2109","a02109",2109
1604,"Whitsunday, For","2143","a02143",2143
1605,"Who gave Jacob for a Spoil, & Israel to the Robbers?","1711","a01711",1711
1606,"Whole armour of God, The","2093","a02093",2093
1607,"Wicked presume upon their Impunity","2195","a02195",2195
1608,"Wickedness and destruction of the old world, On the","2110","a02110",2110
1609,"Wickedness its own Punishment","2125","a02125",2125
1610,"Wickedness of Christians no proof against Christianity, The","2203","a02203",2203
1611,"Wilkinson, John, sermons","3129","a03129",3129
1612,"Wine & Milk without Money & without Price","895","a00895",895
1613,"Wisdom is justified of all his children","810","a00810",810
1614,"Wisdom of fearing God, The","934s","a00934s",934
1615,"Wisdom of God, On the","1766","a01766",1766
1616,"Wisdom's Happiness and Sin's Misery","3071","a03071",3071
1617,"Wisdom, Money, and Knowledge","655","a00655",655
1618,"wise Son maketh a glad father, A","878","a00878",878
1619,"Without me ye can do nothing","1675","a01675",1675
1620,"Wonderful Compassions of Christ to the greatest Sinners, The","789","a00789",789
1621,"Word of God, On the","102","a00102",102
1622,"Word of God, On the","221","a00221",221
1623,"Word of God, On the","307","a00307",307
1624,"Word of God, On the","347","a00347",347
1625,"Word of God, On the","389","a00389",389
1626,"Words of Eternal Life, The","654","a00654",654
1627,"Work of Christ, For the","948","a00948",948
1628,"Work out your own Salvation","1729","a01729",1729
1629,"Work out your own Salvation with Fear and Trembling","890","a00890",890
1630,"Working ","1938","a01938",1938
1631,"Working with Fear & Trembling","1912","a01912",1912
1632,"Works in sin, Of","257","a00257",257
1633,"Works of Christ, On the","3124","a03124",3124
1634,"Worldliness, On","227","a00227",227
1635,"Worldliness, On","286","a00286",286
1636,"Worldliness, On","4024","a04024",4024
1637,"Worldly wisdom spiritually improved ","2033","a02033",2033
1638,"Worship in spirit and truth, On ","99","a00099",99
1639,"Worship, On","3065","a03065",3065
1640,"Worthiness of Heavenly Glory","4006","a04006",4006
1641,"wrongful actions of nations, On the","819","a00819",819
1642,"Ye cannot serve God & Mammon","727","a00727",727
1643,"Ye shall not swear by my Name falsely","889","a00889",889
1644,"Ye should do as I have done to you","1666","a01666",1666
1645,"Yoke of Christ easy, The ","1928","a01928",1928
1646,"Your labor is not in vain in the Lord","1686","a01686",1686
1647,"Youth on being Sober-minded, To","1741","a01741",1741
1648,"Youth Reminded of A Judgment to Come","4025","a04025",4025
1649,"Zeal not according to knowledge, Of","2206","a02206",2206
1650,"[Prayer and Justification, On]","4039","a04039",4039
